Anchorage,AK,11260,AK,30299
Sioux City,IA-NE-SD,43580,IA,35048
Pueblo,CO,39380,CO,34288
Macon,GA,31420,GA,33155
Philadelphia,PA Metropolitan Division,37964,PA,34100
Roanoke,VA,40220,VA,34574
Asheville,NC,11700,NC,30431
New York City,NY,93561,NY (Metropolitan Area),31703
Dothan,AL,20020,AL,31308
Tulsa,OK,46140,OK,34653
Altoona,PA,11020,PA,30322
Fargo,ND-MN,22020,ND,31637
Grand Forks,ND-MN,24220,ND,31898
Joplin,MO,27900,MO,32511
Wilmington,NC,48900,NC,32323
Columbus,GA-AL,17980,GA,31150
Columbus,OH,18140,OH,31066
Tyler,TX,46340,TX,35411
Beaumont-Port Arthur,TX,13140,TX,30728
Grand Junction,CO,24300,CO,31921
Memphis,TN-MS-AR,32820,TN,33244
Columbia,SC,17900,SC,30868
Salt Lake City,UT,41620,UT,34614
Jacksonville,FL,27260,FL,31136
Lynchburg,VA,31340,VA,33139
Walla Walla,WA,47460,WA,30275
Valdosta,GA,46660,GA,35550
Toledo,OH,45780,OH,35165
Greenville,NC,24780,NC,34092
Fort Wayne,IN,23060,IN,31823
Yuma,AZ,49740,AZ,33785
Bangor,ME NECTA,70750,ME,30581
Champaign-Urbana,IL,16580,IL,31067
Wenatchee,WA,48300,WA,31470
Lake Charles,LA,29340,LA,31205
Gainesville,FL,23540,FL,31953
Flint,MI,22420,MI,31721
Modesto,CA,33700,CA,33424
Duluth,MN-WI,20260,MN,31337
Prescott,AZ,39140,AZ,34237
Sioux Falls,SD,43620,SD,31775
Punta Gorda,FL,39460,FL,34082
Allentown-Bethlehem-Easton,PA-NJ,10900,PA,30135
Syracuse,NY,45060,NY,35096
Amarillo,TX,11100,TX,30279
Panama City,FL,37460,FL,31481
Salisbury,MD-DE,41540,MD,34704
Peoria,IL,37900,IL,34108
Texarkana,TX-AR,45500,AR,35401
Fort Smith,AR-OK,22900,AR,31778
Waco,TX,47380,TX,30155
Albany,GA,10500,GA,30146
Corpus Christi,TX,18580,TX,31140
Tucson,AZ,46060,AZ,30436
Ponce,PR,38660,PR,34254
Knoxville,TN,28940,TN,35412
Lewiston,ID-WA,30300,ID,33127
Pocatello,ID,38540,ID,34113
Owensboro,KY,36980,KY,33983
Williamsport,PA,48700,PA,32365
Lafayette,LA,29180,LA,32951
Evansville,IN-KY,21780,IN,31612
New Haven,CT NECTA,75700,CT,32244
Muskegon,MI,34740,MI,33344
Grand Island,NE,24260,NE,31980
Wichita Falls,TX,48660,TX,34960
Wichita,KS,48620,KS,30928
Pittsburgh,PA,38300,PA,30198
Farmington,NM,22140,NM,31711
San Angelo,TX,41660,TX,34842
Dayton,OH,19380,OH,31267
Oklahoma City,OK,36420,OK,33851
Cheyenne,WY,16940,WY,31233
Tallahassee,FL,45220,FL,35249
Monroe,LA,33740,LA,33377
Lancaster,PA,29540,PA,33032
Chattanooga,TN-GA,16860,TN,30980
Albuquerque,NM,10740,NM,30140
Redding,CA,39820,CA,33792
Baton Rouge,LA,12940,LA,30781
Montgomery,AL,33860,AL,33277
Mobile,AL,33660,AL,30562
Eau Claire,WI,20740,WI,31471
Rockford,IL,40420,IL,34512
Santa Fe,NM,42140,NM,34674
Huntsville,AL,26620,AL,30255
Savannah,GA,42340,GA,34685
Fresno,CA,23420,CA,31638
Erie,PA,21500,PA,31577
Rapid City,SD,39660,SD,34457
Charlottesville,VA,16820,VA,30990
Cape Girardeau,MO-IL,16020,MO,30967
Johnstown,PA,27780,PA,32559
Casper,WY,16220,WY,31122
Cincinnati,OH-KY-IN,17140,OH,33105
Colorado Springs,CO,17820,CO,30189
Chico,CA,17020,CA,31002
Mayaguez,PR,32420,PR,33176
Laredo,TX,29700,TX,33038
Abilene,TX,10180,TX,30136
Great Falls,MT,24500,MT,31895
Greensboro-High Point,NC,24660,NC,31995
Dubuque,IA,20220,IA,31274
Idaho Falls,ID,26820,ID,32280
Kansas City,MO-KS,28140,MO,33198
Kansas City,MO,92811,MO,33198
Morgantown,WV,34060,WV,33282
Lubbock,TX,31180,TX,32896
Rochester,MN,40340,MN,32547
Rochester,NY,40380,NY,34576
Bakersfield,CA,12540,CA,30561
El Centro,CA,20940,CA,32363
Appleton,WI,11540,WI,30408
El Paso,TX,21340,TX,30615
Green Bay,WI,24580,WI,31977
Alexandria,LA,10780,LA,30185
Bellingham,WA,13380,WA,30666
Billings,MT,13740,MT,30620
Binghamton,NY,13780,NY,30577
College Station-Bryan,TX,17780,TX,31049
Brunswick,GA,15260,GA,30731
Longview,TX,30980,TX,31905
Flagstaff,AZ,22380,AZ,31695
Yakima,WA,49420,WA,36101
Victoria,TX,47020,TX,35569
St. George,UT,41100,UT,34794
Richmond,VA,40060,VA,34524
Reno,NV,39900,NV,34570
Bend-Redmond,OR,13460,OR,34489
Springfield,IL,44100,IL,34952
Springfield,MO,44180,MO,34783
Lincoln,NE,30700,NE,33029
Madison,WI,31540,WI,33485
Fairbanks,AK,21820,AK,31517
Beckley,WV,13220,WV,30654
Missoula,MT,33540,MT,33486
Merced,CA,32900,CA,33194
Medford,OR,32780,OR,33264
Santa Rosa,CA,42220,CA,34433
Fayetteville,NC,22180,NC,31641
Florence,SC,22500,SC,31699
St. Louis,MO-IL,41180,MO,31123
Eugene,OR,21660,OR,31603
